Preferred Asset Name,Preferred Domain,Site,Application,Function,Classification,System Type,VM ESX Host
053-FW-INT02a,,53,Network Management,Firewall Appliance,Prod,Virtual,p0532401cmp04.epiqcorp.com
053-FW-INT02b,,53,Network Management,Firewall Appliance,Prod,Virtual,p0532401cmp02.epiqcorp.com
053-FW-INT03a,,53,Network Management,Firewall Appliance,Prod,Virtual,p0532401cmp00.epiqcorp.com
053-FW-INT03b,,53,Network Management,Firewall Appliance,Prod,Virtual,p0532401cmp05.epiqcorp.com
053-FW-INT04a,,53,Network Management,Firewall Appliance,Prod,Virtual,p0532401cmp04.epiqcorp.com
053-FW-INT04b,,53,Network Management,Firewall Appliance,PROD,Virtual,p0532401cmp01.epiqcorp.com
053-FW-INT05a,,53,Network Management,Firewall Appliance,Prod,Virtual,p0532401cmp05.epiqcorp.com
053-FW-INT05b,,53,Network Management,Firewall Appliance,Prod,Virtual,p0532401cmp02.epiqcorp.com
053-LB-HAP04a,,53,Network Management,Networking HA Load Balancer,PROD,Virtual,p0532401cmp00.epiqcorp.com
053-LB-HAP04b,,53,Network Management,Networking HA Load Balancer,PROD,Virtual,p0532401cmp04.epiqcorp.com
053-LB-HAP05a,,53,Network Management,Networking HA Load Balancer,PROD,Virtual,p0532401cmp02.epiqcorp.com
053-LB-HAP05b,,53,Network Management,Networking HA Load Balancer,PROD,Virtual,p0532401cmp04.epiqcorp.com
053-LB-HAP06a,,53,Network Management,Networking HA Load Balancer,PROD,Virtual,p0532401cmp00.epiqcorp.com
053-LB-HAP06b,,53,Network Management,Networking HA Load Balancer,PROD,Virtual,p0532401cmp05.epiqcorp.com
054-ANS-HAP01,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a07cmp00.epiqcorp.com
054-FW-GP01a - 10.35.6.204,,54,Network Management,Firewall Appliance,PROD,Virtual,p054esxlnx0103.epiqcorp.com
054-FW-GP01b - 10.35.6.205,,54,Network Management,Firewall Appliance,PROD,Virtual,p054esxlnx0101.epiqcorp.com
054-FW-INT02a,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542a08cmp01.epiqcorp.com
054-FW-INT02b,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542a08cmp04.epiqcorp.com
054-FW-INT03,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542a07cmp01.epiqcorp.com
054-FW-INT04,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542a07cmp04.epiqcorp.com
054-FW-INT04a,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542a10cmp04.epiqcorp.com
054-FW-INT04b,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542a10cmp01.epiqcorp.com
054-FW-INT05a,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542a08cmp01.epiqcorp.com
